speaker,length,consonant,word,c_length,word_place,frame,
F02,0.091338,l,komala,short,medial,3,
F02,0.091053,l,mwehl,short,final,1,
M01,0.090842,n,mwenei,short,medial,2,
F01,0.089927,mw,kammwus,long,medial,2,
F01,0.089912,mw,kammwus,long,medial,3,
M01,0.089735,l,lallal,long,medial,3,
M01,0.089635,mw,mmwen,long,initial,1,
M02,0.089275,m,komala,short,medial,1,
M01,0.088264,r,rerrer,long,medial,2,
F01,0.088137,l,mwehl,short,final,1,
F02,0.088105,mw,kamwus,short,medial,1,
M01,0.088056,l,komala,short,medial,2,
M01,0.086961,m,mmed,long,initial,3,
M01,0.086797,mw,mmwus,long,initial,3,
F01,0.08667,mw,mwus,short,initial,1,
M02,0.086177,mw,kammwus,long,medial,2,
F02,0.085538,mw,lewemw,short,final,3,
F02,0.085374,l,kommoal,short,final,1,
M01,0.085135,mw,mwus,short,initial,2,
F02,0.084772,m,mall,short,initial,3,
F01,0.084729,l,komala,short,medial,1,
M02,0.084401,l,komala,short,medial,3,
F02,0.084267,r,rere,short,medial,3,
M02,0.084203,mw,kamwus,short,medial,2,
M01,0.084105,mw,mmwen,long,initial,2,
F02,0.083445,mw,rohmw,short,final,1,
M02,0.083291,l,kul,short,final,3,
M02,0.083032,l,kul,short,final,2,
F02,0.082438,m,mall,short,initial,2,
F02,0.082352,mw,mmwus,long,initial,1,
F01,0.081856,l,komala,short,medial,3,
M01,0.080975,r,rerrer,long,medial,3,
F01,0.079675,mw,kammwus,long,medial,1,
M01,0.078511,n,urenna,long,medial,1,
F02,0.078499,l,mall,long,final,1,
F01,0.078172,l,kul,short,final,2,
M02,0.077474,l,mwell,long,final,1,
F01,0.076337,mw,mmwen,long,initial,3,
M01,0.074709,r,rere,short,medial,3,
M02,0.074615,mw,mwenei,short,initial,3,
M01,0.07375,n,mwenei,short,medial,3,
F02,0.073555,mw,mwenei,short,initial,1,
M02,0.073397,l,mwehl,short,final,1,
F02,0.07322,l,mall,long,final,3,
M01,0.073172,mw,mmwen,long,initial,3,
F02,0.072899,l,komala,short,medial,1,
F02,0.071621,mw,mmwen,long,initial,1,
F01,0.070572,l,mwell,long,final,1,
F02,0.069912,m,komala,short,medial,1,
F01,0.069799,mw,mmwen,long,initial,1,
F01,0.069613,l,mall,long,final,2,
M02,0.069575,l,komala,short,medial,2,
M02,0.068909,l,komala,short,medial,1,
M02,0.068849,r,rere,short,medial,1,
F02,0.068341,mw,mwell,short,initial,1,
M02,0.067529,m,med,short,initial,2,
M02,0.066934,mw,mwus,short,initial,1,
F02,0.066826,mw,mwenei,short,initial,2,
F02,0.066527,mw,mwehl,short,initial,1,
M02,0.066455,l,mwehl,short,final,2,
F01,0.065021,mw,mmwus,long,initial,1,
F02,0.064865,m,mall,short,initial,1,
M02,0.064195,mw,mwus,short,initial,3,
M01,0.06109,r,rere,short,medial,2,
F01,0.060777,mw,mwenei,short,initial,1,
M02,0.059298,r,rere,short,medial,2,
F01,0.058425,l,mwell,long,final,3,
F01,0.058399,mw,mwenei,short,initial,3,
M02,0.057888,mw,kamwus,short,medial,1,
F01,0.05341,mw,mmwus,long,initial,3,
M01,0.052985,mw,mwenei,short,initial,1,
F02,0.052945,mw,mwus,short,initial,1,
M02,0.052366,l,mwell,long,final,2,
F02,0.052213,r,rere,short,medial,1,
M02,0.05158,mw,mwenei,short,initial,2,
M01,0.05041,m,med,short,initial,1,
F02,0.049813,mw,mwenei,short,initial,3,
F01,0.049056,mw,mwenei,short,initial,2,
M01,0.048996,mw,mwenei,short,initial,2,
M01,0.048587,m,med,short,initial,3,
M01,0.045597,mw,mwus,short,initial,3,
M02,0.044299,m,med,short,initial,3,
M01,0.044253,mw,mwenei,short,initial,3,
M01,0.043154,mw,mmwus,long,initial,2,
M01,0.041839,mw,mwus,short,initial,1,
M02,0.041528,mw,mwus,short,initial,2,
M01,0.040751,m,med,short,initial,2,
M01,0.04054,mw,mmwus,long,initial,1,
M02,0.038985,m,med,short,initial,1,
M02,0.03635,l,kull,long,final,2,
M02,0.03359,mw,lewemw,short,final,3,
F01,0.029936,mw,mmwus,long,initial,2,
M01,0.017135,r,rere,short,medial,1,
