speaker_id,f1,f2,f3,vowel,gender,word,c_initial,c_final,v_length,group,ci,cf,group2
M03,621.868493,1306.081996,,oa,m,poad,front,front,short,ff,,,
M03,583.080685,943.00015,,oa,m,koakon,back,back,short,bb,,,
M03,466.532288,986.292818,,o,m,kopil,back,front,short,bf,,,
M03,481.987719,915.29,,o,m,dohpeseng,front,front,long,ff,,,
M03,556.431,915.191714,,oa,m,koakon,back,back,short,bb,,,
M03,460.20799,813.227534,,o,m,kohke,back,back,long,bb,,,
M03,610.846,1098.14787,,o,m,poak,front,back,short,fb,,,
M03,608.72,1225.604181,,oa,m,koadi,back,front,short,bf,,,
M03,652.03,1138.98,,oa,m,poahd,front,front,long,ff,,,
M03,634.5879,1005.264,,oa,m,koahkoa,back,back,long,bb,,,
M03,645.961511,1006.46,,oa,m,koahpi,back,front,long,bf,,,
M03,515.707997,1469.82,,e,m,pepe,front,front,short,ff,,,
M03,483.097285,1369.976779,,e,m,keke,back,back,short,bb,,,
M03,487.7497,1502.484271,,e,m,peki,front,back,short,fb,,,
M03,567.371261,1478.80939,,e,m,kep,back,front,short,bf,,,
M03,511.304977,1859.244832,,e,m,pehpe,front,front,long,ff,,,
M03,495.41,1907.622762,,e,m,kehk,back,back,long,bb,,,
M03,533.896,1781.687,,e,m,pehkiek,front,back,long,fb,,,
M03,509.926,1755.448811,,e,m,kehp,back,front,long,bf,,,
M03,528.156889,1863.653179,,e,m,pehkiek,front,back,long,fb,,,
M03,436.98809,1652.441971,,i,m,pik,front,back,short,fb,,,
M03,728.461424,1420.874566,,a,m,pap,front,front,short,ff,,,
M03,566.411928,1516.821318,,e,m,dek,front,back,short,fb,,,
M03,572.443736,1063.102467,,oa,m,koal,back,front,short,bf,,,
M03,580.010666,1091.8852,,o,m,pok,front,back,short,fb,,,
M03,629.23221,1179.251851,,oa,m,poar,front,back,short,fb,,,
M03,516.296925,1943.038167,,e,m,dehk,front,back,long,fb,,,
M03,373.454171,1026.93,,u,m,tuki,back,back,short,bb,,,
M03,765.528333,1440.563651,,a,m,pahpa,front,front,long,ff,,,
M03,418.661306,885.341144,,u,m,kull,back,front,short,bf,,,
M03,649.101015,972.495947,,oa,m,poahr,front,back,long,fb,,,
M03,488.213517,2118.724097,,i,m,pihk,front,back,long,fb,,,
M03,481.297608,922.11655,,o,m,pohk,front,back,long,fb,,,
M03,750.608594,1427.26,,a,m,pak,front,back,short,fb,,,
M03,581.36,965.735517,,oa,m,koahl,back,front,long,bf,,,
M03,430.303139,925.728969,,u,m,tuhke,back,back,long,bb,,,
M03,845.574594,1499.798353,,a,m,pahk,front,back,long,fb,,,
M03,733.14,1382.70487,,a,m,kapa,back,front,short,bf,,,
M03,698.102497,1357.376989,,a,m,kak,back,back,short,bb,,,
M03,415.7648,1118.79,,u,m,dul,front,front,short,ff,,,
M03,788.869883,1423.111485,,a,m,kahk,back,back,long,bb,,,
